repo, precision, recall, full_recall, f1, full_f1, ppcr, support, full_support, Rules Number, Average Rule Len
content.git, 0.878, 0.878, 0.856, 0.878, 0.867, 0.974, 3967, 4071, 91, 6.7
apachecn-algo-zh.git, 0.391, 0.391, 0.077, 0.391, 0.129, 0.197, 133, 675, 4, 3.8
ac-nh-turnip-prices.git, 0.883, 0.883, 0.711, 0.883, 0.788, 0.805, 360, 447, 8, 4.8
aleph.git, 0.899, 0.899, 0.853, 0.899, 0.875, 0.949, 3510, 3698, 57, 5.4
noflo.git, 0.952, 0.952, 0.944, 0.952, 0.948, 0.992, 24663, 24865, 111, 9.2
cuckoo.git, 0.944, 0.944, 0.859, 0.944, 0.899, 0.910, 19700, 21646, 92, 9.5
lbry-desktop.git, 0.963, 0.963, 0.943, 0.963, 0.953, 0.978, 12095, 12362, 255, 9.5
redux-actions.git, 0.899, 0.899, 0.792, 0.899, 0.842, 0.881, 1003, 1139, 23, 4.7
redux-mock-store.git, 0.981, 0.981, 0.237, 0.981, 0.382, 0.242, 52, 215, 1, 2.0
shifty.git, 0.650, 0.650, 0.486, 0.650, 0.556, 0.748, 80, 107, 50, 5.8
engine.io.git, 0.901, 0.901, 0.896, 0.901, 0.899, 0.994, 6732, 6772, 79, 6.7
fdir.git, 0.964, 0.964, 0.602, 0.964, 0.741, 0.625, 1015, 1624, 6, 5.3
doodlemaster.git, 0.828, 0.828, 0.721, 0.828, 0.771, 0.872, 882, 1012, 16, 6.9
startbootstrap-clean-blog.git, 1.000, 1.000, 0.089, 1.000, 0.163, 0.089, 18, 203, 1, 1.0
calla.git, 0.881, 0.881, 0.857, 0.881, 0.869, 0.972, 40097, 41236, 36, 7.0
cool-ascii-faces.git, 0.429, 0.429, 0.429, 0.429, 0.429, 1.000, 7, 7, 10, 1.0
fbt.git, 0.953, 0.953, 0.940, 0.953, 0.946, 0.986, 27130, 27516, 137, 9.7
nylas-mail.git, 0.953, 0.953, 0.924, 0.953, 0.938, 0.969, 68669, 70831, 301, 10.5
vue-cnodejs.git, 0.934, 0.934, 0.784, 0.934, 0.853, 0.840, 226, 269, 10, 4.8
