repo, precision, recall, full_recall, f1, full_f1, ppcr, support, full_support, Rules Number, Average Rule Len
rogue.js.git, 1.000, 1.000, 0.261, 1.000, 0.414, 0.261, 175, 671, 3, 2.3
redux-query.git, 0.913, 0.913, 0.763, 0.913, 0.831, 0.835, 3407, 4078, 11, 5.4
dynamoose.git, 0.949, 0.949, 0.934, 0.949, 0.942, 0.985, 9527, 9674, 26, 5.4
puer.git, 0.834, 0.834, 0.790, 0.834, 0.811, 0.947, 6921, 7306, 108, 9.3
enquire.js.git, 0.938, 0.938, 0.665, 0.938, 0.778, 0.709, 129, 182, 4, 5.5
frida-snippets.git, 0.942, 0.942, 0.393, 0.942, 0.555, 0.417, 225, 539, 3, 4.0
realtime-multiplayer-in-html5.git, 0.926, 0.926, 0.631, 0.926, 0.750, 0.681, 378, 555, 3, 5.0
qrbtf.git, 0.918, 0.918, 0.816, 0.918, 0.864, 0.888, 3895, 4385, 14, 7.0
textures.git, 0.822, 0.822, 0.754, 0.822, 0.786, 0.916, 889, 970, 6, 4.7
cnn-explainer.git, 0.927, 0.927, 0.881, 0.927, 0.904, 0.951, 3095, 3256, 63, 6.7
front-end-roadmap.git, 0.621, 0.621, 0.164, 0.621, 0.259, 0.264, 29, 110, 4, 3.0
artillery.git, 0.941, 0.941, 0.856, 0.941, 0.897, 0.910, 9225, 10139, 14, 5.7
glasscord.git, 0.835, 0.835, 0.576, 0.835, 0.681, 0.690, 834, 1209, 4, 3.0
linter.git, 0.898, 0.898, 0.889, 0.898, 0.893, 0.990, 3900, 3940, 67, 5.8
dinero.js.git, 0.928, 0.928, 0.308, 0.928, 0.463, 0.332, 208, 626, 1, 1.0
react-antd-admin-template.git, 0.921, 0.921, 0.440, 0.921, 0.596, 0.478, 1076, 2252, 4, 5.5
toscani.git, 0.863, 0.863, 0.761, 0.863, 0.809, 0.882, 1993, 2259, 9, 4.4
house.git, 0.966, 0.966, 0.716, 0.966, 0.823, 0.741, 1978, 2668, 7, 4.7
htmx.git, 0.964, 0.964, 0.926, 0.964, 0.945, 0.961, 155185, 161456, 122, 10.3
pslab-desktop.git, 0.904, 0.904, 0.896, 0.904, 0.900, 0.991, 11207, 11312, 138, 7.1
keen-slider.git, 0.752, 0.752, 0.317, 0.752, 0.446, 0.422, 230, 545, 3, 3.0
angular-starter.git, 0.936, 0.936, 0.500, 0.936, 0.651, 0.534, 574, 1075, 5, 3.2
