repo, precision, recall, full_recall, f1, full_f1, ppcr, support, full_support, Rules Number, Average Rule Len
sidoine.org.git, 0.951, 0.951, 0.595, 0.951, 0.732, 0.625, 389, 622, 2, 4.5
python-js-dolly-cam-app.git, 0.828, 0.828, 0.693, 0.828, 0.755, 0.837, 221, 264, 8, 4.4
instagram-helper.git, 1.000, 1.000, 0.112, 1.000, 0.201, 0.112, 14, 125, 1, 2.0
tiny-tools.git, 0.916, 0.916, 0.614, 0.916, 0.735, 0.670, 40030, 59727, 7, 8.0
experimental.git, 0.886, 0.886, 0.798, 0.886, 0.840, 0.901, 2891, 3209, 31, 6.0
reach--.git, 0.897, 0.897, 0.784, 0.897, 0.837, 0.874, 3126, 3576, 7, 5.1
roverserver.git, 0.942, 0.942, 0.582, 0.942, 0.720, 0.618, 643, 1041, 4, 4.2
detect-avoid.git, 0.955, 0.955, 0.883, 0.955, 0.918, 0.924, 86059, 93118, 68, 10.4
poseidon-system-integration.git, 0.965, 0.965, 0.740, 0.965, 0.838, 0.767, 3642, 4749, 11, 5.7
event-admin.git, 0.901, 0.901, 0.574, 0.901, 0.701, 0.637, 345, 542, 5, 4.2
exp-res.git, 0.946, 0.946, 0.909, 0.946, 0.927, 0.961, 178885, 186161, 741, 14.0
du.git, 0.892, 0.892, 0.733, 0.892, 0.805, 0.822, 518, 630, 4, 3.2
minecraft-server.git, 0.896, 0.896, 0.838, 0.896, 0.866, 0.935, 12277, 13129, 20, 7.5
movies.git, 1.000, 1.000, 0.051, 1.000, 0.096, 0.051, 9, 178, 2, 2.0
wt-training-angular2.git, 0.858, 0.858, 0.544, 0.858, 0.666, 0.634, 353, 557, 16, 3.9
zecwallet.git, 0.926, 0.926, 0.788, 0.926, 0.851, 0.851, 4934, 5796, 17, 8.7
travelroute.git, 0.950, 0.950, 0.598, 0.950, 0.734, 0.629, 399, 634, 4, 4.5
