repo, precision, recall, full_recall, f1, full_f1, ppcr, support, full_support, Rules Number, Average Rule Len
autoprefixer.git, 0.947, 0.947, 0.922, 0.947, 0.934, 0.974, 7146, 7336, 126, 10.1
npm-shrinkwrap.git, 0.946, 0.946, 0.854, 0.946, 0.897, 0.903, 1674, 1854, 10, 4.4
bilibili-helper-o.git, 0.927, 0.927, 0.858, 0.927, 0.891, 0.926, 16515, 17841, 31, 10.3
backbone-forms.git, 0.934, 0.934, 0.881, 0.934, 0.907, 0.944, 16972, 17974, 391, 10.5
formula.js.git, 0.970, 0.970, 0.948, 0.970, 0.959, 0.977, 16700, 17089, 37, 8.1
ar.js.git, 0.947, 0.947, 0.840, 0.947, 0.891, 0.887, 2913, 3285, 57, 6.5
react-contextmenu.git, 0.843, 0.843, 0.777, 0.843, 0.808, 0.922, 2137, 2319, 33, 6.1
codelab-friendlychat-web.git, 0.899, 0.899, 0.831, 0.899, 0.864, 0.923, 1542, 1670, 11, 5.3
karma-webpack.git, 0.971, 0.971, 0.722, 0.971, 0.828, 0.744, 308, 414, 4, 4.0
pipedream.git, 0.976, 0.976, 0.944, 0.976, 0.960, 0.968, 37152, 38392, 39, 8.0
adele.git, 0.894, 0.894, 0.266, 0.894, 0.410, 0.297, 85, 286, 2, 2.0
npm-check-updates.git, 0.942, 0.942, 0.893, 0.942, 0.917, 0.948, 6722, 7087, 16, 6.9
web-vitals.git, 0.944, 0.944, 0.777, 0.944, 0.853, 0.823, 1133, 1377, 7, 4.7
resumake.io.git, 0.891, 0.891, 0.844, 0.891, 0.867, 0.947, 7637, 8063, 65, 8.9
archer.git, 0.920, 0.920, 0.711, 0.920, 0.802, 0.773, 7663, 9914, 11, 7.5
formidable.git, 0.946, 0.946, 0.846, 0.946, 0.893, 0.895, 4963, 5545, 14, 6.6
microstates.git, 0.878, 0.878, 0.829, 0.878, 0.853, 0.944, 4969, 5266, 80, 7.5
flask-debugtoolbar.git, 0.947, 0.947, 0.854, 0.947, 0.898, 0.902, 1494, 1657, 16, 8.2
structor.git, 0.941, 0.941, 0.840, 0.941, 0.888, 0.893, 20560, 23028, 39, 9.2
angular-starter.git, 0.936, 0.936, 0.500, 0.936, 0.651, 0.534, 574, 1075, 5, 3.2
