repo, precision, recall, full_recall, f1, full_f1, ppcr, support, full_support, Rules Number, Average Rule Len
iro.js.git, 0.872, 0.872, 0.727, 0.872, 0.793, 0.834, 1976, 2370, 9, 4.9
seen.git, 0.939, 0.939, 0.764, 0.939, 0.843, 0.814, 114, 140, 6, 4.5
universal-data-tool.git, 0.923, 0.923, 0.881, 0.923, 0.901, 0.955, 17208, 18015, 135, 9.2
electron-with-server-example.git, 0.988, 0.988, 0.380, 0.988, 0.548, 0.384, 83, 216, 1, 1.0
thief.git, 0.893, 0.893, 0.774, 0.893, 0.829, 0.868, 596, 687, 37, 5.5
snowpack.git, 0.905, 0.905, 0.891, 0.905, 0.898, 0.985, 13504, 13716, 76, 8.8
js-ipfs-http-client.git, 0.942, 0.942, 0.865, 0.942, 0.902, 0.918, 6786, 7392, 16, 6.1
sdow.git, 0.839, 0.839, 0.764, 0.839, 0.800, 0.911, 2014, 2211, 36, 5.9
raspberrycast.git, 0.931, 0.931, 0.564, 0.931, 0.703, 0.606, 378, 624, 2, 2.5
papercut-smtp.git, 0.865, 0.865, 0.394, 0.865, 0.542, 0.456, 6841, 15009, 2, 1.5
makemeahanzi.git, 0.861, 0.861, 0.689, 0.861, 0.766, 0.801, 317, 396, 1, 3.0
babel-plugin-root-import.git, 0.986, 0.986, 0.349, 0.986, 0.515, 0.354, 287, 811, 3, 2.3
localtunnel.git, 0.890, 0.890, 0.337, 0.890, 0.489, 0.378, 73, 193, 5, 6.0
chakra-ui-vue.git, 0.968, 0.968, 0.918, 0.968, 0.943, 0.949, 16773, 17680, 36, 9.4
asar.git, 0.849, 0.849, 0.622, 0.849, 0.718, 0.733, 680, 928, 5, 4.2
vanta.git, 0.882, 0.882, 0.771, 0.882, 0.823, 0.874, 3892, 4454, 8, 5.1
richfilemanager.git, 0.900, 0.900, 0.827, 0.900, 0.862, 0.919, 40387, 43942, 270, 10.0
backbone.modelbinding.git, 0.978, 0.978, 0.890, 0.978, 0.932, 0.910, 2250, 2473, 14, 5.8
coronavirus-tracker-cli.git, 0.859, 0.859, 0.382, 0.859, 0.529, 0.445, 262, 589, 3, 3.3
node-ar-drone.git, 0.947, 0.947, 0.900, 0.947, 0.923, 0.950, 7154, 7528, 14, 6.0
maria.git, 0.947, 0.947, 0.890, 0.947, 0.918, 0.940, 9015, 9589, 22, 8.0
grunt-newer.git, 0.899, 0.899, 0.818, 0.899, 0.856, 0.910, 958, 1053, 26, 5.0
hypercore.git, 0.952, 0.952, 0.913, 0.952, 0.932, 0.960, 11820, 12318, 19, 6.4
meteor-files.git, 0.905, 0.905, 0.888, 0.905, 0.896, 0.982, 1667, 1698, 61, 7.1
koa-graphql.git, 0.833, 0.833, 0.250, 0.833, 0.385, 0.300, 6, 20, 2, 2.5
zeronet.git, 0.966, 0.966, 0.860, 0.966, 0.910, 0.890, 11441, 12849, 19, 8.4
