repo, precision, recall, full_recall, f1, full_f1, ppcr, support, full_support, Rules Number, Average Rule Len
kanmail.git, 0.949, 0.949, 0.794, 0.949, 0.864, 0.837, 2216, 2649, 8, 5.8
composer.git, 0.946, 0.946, 0.930, 0.946, 0.938, 0.984, 139724, 142004, 458, 12.3
now-desktop.git, 0.925, 0.925, 0.879, 0.925, 0.901, 0.951, 3851, 4050, 119, 7.3
editly.git, 0.915, 0.915, 0.765, 0.915, 0.833, 0.836, 1990, 2381, 12, 5.3
infinity.git, 0.933, 0.933, 0.781, 0.933, 0.850, 0.836, 2935, 3509, 4, 6.8
github-buttons.git, 0.825, 0.825, 0.779, 0.825, 0.801, 0.945, 1790, 1895, 41, 5.2
rewire.git, 0.954, 0.954, 0.870, 0.954, 0.910, 0.912, 2303, 2524, 57, 5.2
real-time-person-removal.git, 0.959, 0.959, 0.391, 0.959, 0.555, 0.408, 368, 903, 2, 2.0
juejin.git, 0.937, 0.937, 0.920, 0.937, 0.928, 0.982, 3631, 3698, 114, 7.7
atom-script.git, 0.958, 0.958, 0.843, 0.958, 0.897, 0.880, 3680, 4183, 18, 7.1
geonode.git, 0.919, 0.919, 0.870, 0.919, 0.894, 0.947, 133853, 141323, 517, 13.2
douban.fm.git, 0.832, 0.832, 0.394, 0.832, 0.535, 0.474, 226, 477, 20, 3.8
pdfkit.git, 0.976, 0.976, 0.962, 0.976, 0.969, 0.986, 21611, 21916, 127, 8.0
node-geoip.git, 0.783, 0.783, 0.665, 0.783, 0.719, 0.850, 2906, 3419, 32, 5.6
g-desktop-suite.git, 0.910, 0.910, 0.575, 0.910, 0.704, 0.632, 343, 543, 3, 3.0
hyperdrive.git, 0.978, 0.978, 0.954, 0.978, 0.966, 0.976, 8437, 8644, 17, 6.3
sinon-chai.git, 0.950, 0.950, 0.923, 0.950, 0.937, 0.972, 1943, 1999, 36, 5.9
emitter.git, 0.887, 0.887, 0.379, 0.887, 0.531, 0.427, 195, 457, 3, 3.0
railroad-diagrams.git, 0.932, 0.932, 0.751, 0.932, 0.832, 0.805, 9936, 12342, 7, 7.4
node-react-ecommerce.git, 0.914, 0.914, 0.820, 0.914, 0.865, 0.896, 3064, 3418, 10, 5.4
workflow.git, 0.949, 0.949, 0.856, 0.949, 0.900, 0.903, 7359, 8154, 27, 9.3
plex.git, 0.561, 0.561, 0.522, 0.561, 0.541, 0.930, 2054, 2208, 8, 3.5
l20n.js.git, 0.919, 0.919, 0.674, 0.919, 0.778, 0.734, 1361, 1855, 48, 4.9
