repo, precision, recall, full_recall, f1, full_f1, ppcr, support, full_support, Rules Number, Average Rule Len
homeeditor.git, 1.000, 1.000, 0.156, 1.000, 0.270, 0.156, 10, 64, 1, 1.0
selected-chapters-linear-algebra.git, 0.851, 0.851, 0.157, 0.851, 0.265, 0.185, 141, 764, 2, 2.0
pdc.git, 0.962, 0.962, 0.628, 0.962, 0.760, 0.652, 5916, 9072, 7, 5.7
django-webpage.git, 0.901, 0.901, 0.804, 0.901, 0.850, 0.892, 232, 260, 6, 4.3
event-admin.git, 0.901, 0.901, 0.574, 0.901, 0.701, 0.637, 345, 542, 5, 4.2
tln-stock-prediction.git, 0.936, 0.936, 0.676, 0.936, 0.785, 0.722, 692, 959, 10, 6.0
personal-shop.git, 0.725, 0.725, 0.496, 0.725, 0.589, 0.684, 407, 595, 4, 3.0
fardelcms.git, 0.886, 0.886, 0.396, 0.886, 0.547, 0.447, 823, 1841, 2, 3.5
atmosphuer.git, 0.964, 0.964, 0.964, 0.964, 0.964, 1.000, 3136, 3136, 91, 5.6
bench.git, 0.913, 0.913, 0.644, 0.913, 0.755, 0.706, 2413, 3419, 9, 6.2
doc-checker.git, 0.951, 0.951, 0.918, 0.951, 0.934, 0.966, 126350, 130783, 664, 10.9
worker-native.git, 0.966, 0.966, 0.204, 0.966, 0.336, 0.211, 58, 275, 1, 1.0
rage_mkdocs.git, 0.818, 0.818, 0.434, 0.818, 0.567, 0.530, 280, 528, 1, 3.0
apachecn-algo-zh.git, 0.357, 0.357, 0.021, 0.357, 0.040, 0.059, 14, 238, 4, 2.5
inclucivics.git, 0.809, 0.809, 0.471, 0.809, 0.596, 0.582, 346, 594, 2, 2.5
