repo, precision, recall, full_recall, f1, full_f1, ppcr, support, full_support, Rules Number, Average Rule Len
ts-node.git, 0.846, 0.846, 0.758, 0.846, 0.800, 0.896, 3379, 3771, 11, 4.5
create-snowpack-app.git, 0.815, 0.815, 0.748, 0.815, 0.780, 0.917, 1573, 1715, 93, 9.2
vue-h5-template.git, 0.710, 0.710, 0.320, 0.710, 0.441, 0.451, 69, 153, 9, 3.9
anon.git, 0.665, 0.665, 0.526, 0.665, 0.587, 0.790, 1094, 1385, 1, 1.0
reactor.js.git, 0.996, 0.996, 0.609, 0.996, 0.756, 0.611, 2906, 4757, 8, 6.0
autocomplete-plus.git, 0.994, 0.994, 0.889, 0.994, 0.939, 0.895, 14413, 16110, 19, 7.4
karma-coverage.git, 0.920, 0.920, 0.775, 0.920, 0.841, 0.843, 1500, 1780, 9, 6.0
three.js.git, 0.964, 0.964, 0.929, 0.964, 0.946, 0.964, 182859, 189721, 111, 12.8
glow-sans.git, 0.906, 0.906, 0.798, 0.906, 0.848, 0.881, 3357, 3809, 16, 8.3
chai-as-promised.git, 0.975, 0.975, 0.930, 0.975, 0.952, 0.955, 4279, 4482, 6, 3.5
clockpicker.git, 0.657, 0.657, 0.614, 0.657, 0.635, 0.935, 10844, 11596, 40, 5.0
masteringnode.git, 0.817, 0.817, 0.469, 0.817, 0.596, 0.574, 120, 209, 1, 5.0
redaxios.git, 1.000, 1.000, 0.262, 1.000, 0.415, 0.262, 407, 1553, 1, 2.0
flexslider.git, 0.728, 0.728, 0.642, 0.728, 0.683, 0.882, 2817, 3195, 10, 5.3
react-query-devtools.git, 0.766, 0.766, 0.109, 0.766, 0.191, 0.142, 111, 780, 3, 2.7
instafeed.js.git, 0.880, 0.880, 0.489, 0.880, 0.629, 0.556, 393, 707, 11, 2.9
kbone.git, 0.950, 0.950, 0.929, 0.950, 0.939, 0.979, 43647, 44600, 236, 12.7
nocturn.git, 0.928, 0.928, 0.803, 0.928, 0.861, 0.866, 2018, 2331, 12, 5.2
webrtc-book-cn.git, 0.931, 0.931, 0.764, 0.931, 0.839, 0.821, 375, 457, 7, 5.7
babybuddy.git, 0.928, 0.928, 0.880, 0.928, 0.903, 0.948, 7429, 7836, 94, 7.9
pose-animator.git, 0.920, 0.920, 0.823, 0.920, 0.869, 0.895, 5846, 6535, 4, 4.8
