repo, precision, recall, full_recall, f1, full_f1, ppcr, support, full_support, Rules Number, Average Rule Len
django_by_example.git, 0.911, 0.911, 0.806, 0.911, 0.855, 0.885, 1915, 2165, 65, 7.8
muxi-cs103.git, 0.941, 0.941, 0.922, 0.941, 0.931, 0.980, 8127, 8295, 23, 6.8
catboard.git, 0.885, 0.885, 0.722, 0.885, 0.795, 0.816, 1242, 1522, 16, 5.4
cents_trip.git, 0.811, 0.811, 0.632, 0.811, 0.710, 0.779, 887, 1138, 10, 3.0
visualization-for-transportation.git, 0.858, 0.858, 0.594, 0.858, 0.702, 0.693, 1558, 2249, 6, 4.5
sgtk.git, 0.970, 0.970, 0.923, 0.970, 0.946, 0.951, 14259, 14990, 30, 8.8
random-code.git, 1.000, 1.000, 0.219, 1.000, 0.360, 0.219, 256, 1167, 2, 1.0
python-thermostat.git, 0.840, 0.840, 0.670, 0.840, 0.746, 0.798, 18930, 23730, 5, 6.8
alaio-oracle.git, 0.972, 0.972, 0.271, 0.972, 0.424, 0.279, 531, 1903, 2, 2.5
jadeocr.git, 0.500, 0.500, 0.250, 0.500, 0.333, 0.500, 6, 12, 3, 2.3
streeteats.git, 0.907, 0.907, 0.902, 0.907, 0.904, 0.995, 10244, 10299, 13, 4.2
